,joy
357,-0.010835514403879642
358,-0.005108623765408993
359,0.05878286063671112
360,-0.0004835159925278276
361,0.028582928702235222
362,0.014719494618475437
363,0.03027919866144657
364,0.028567075729370117
365,-0.043627411127090454
366,0.018643109127879143
367,0.012896401807665825
368,-0.04533953219652176
369,0.013490889221429825
370,-0.022305147722363472
371,-0.0025998891796916723
372,-0.0072408500127494335
373,0.038237396627664566
374,-0.04112263768911362
375,-0.013387844897806644
376,0.002811922924593091
377,-0.035986270755529404
378,-0.011017823591828346
379,0.01058979332447052
380,-0.008980714716017246
381,-0.02626839280128479
382,-0.00895693525671959
383,-0.006103398744016886
384,-0.020989349111914635
385,0.030723081901669502
386,0.017707781866192818
387,-0.026696424931287766
388,-0.021972235292196274
389,0.00254044053144753
390,-0.017010251060128212
391,-0.00858439039438963
392,-0.009575202129781246
393,0.03379856050014496
394,-0.0020291819237172604
395,0.01737486943602562
396,0.01653466187417507
397,0.00481138052418828
398,0.014315243810415268
399,-0.0014317225432023406
400,0.022891707718372345
401,-0.009218510240316391
402,0.030865758657455444
403,-0.020688142627477646
404,0.0166297797113657
405,0.008497199043631554
406,-0.013498815707862377
407,0.01873822696506977
408,0.009939820505678654
409,0.017945576459169388
410,-0.03287908807396889
411,-0.007621321827173233
412,0.0011324974475428462
413,-0.01659807376563549
414,0.007534130476415157
415,0.024968449026346207
416,0.02029181830585003
417,-0.014386582188308239
418,-0.01632857322692871
419,-0.01639198511838913
420,-0.022828295826911926
421,0.05171243101358414
422,-0.04052022472023964
423,0.02745736762881279
424,-0.015218864195048809
425,0.007855153642594814
426,-0.02168688178062439
427,-0.0065195392817258835
428,-0.02742566168308258
429,-0.016281014308333397
430,-0.019768670201301575
431,0.01853213831782341
432,0.014759127981960773
433,0.023367296904325485
434,-0.008703287690877914
435,-0.020925937220454216
436,-0.002667264547199011
437,0.016201749444007874
438,0.01693098619580269
439,0.01398233138024807
440,-0.008354522287845612
441,-0.0005801201332360506
442,-0.002403708640486002
443,-0.023573385551571846
444,-0.015123746357858181
445,0.02745736762881279
446,-0.0063332668505609035
447,-0.03455950319766998
448,-0.014965216629207134
449,0.015298129059374332
450,-0.03367173671722412
451,-0.01240495964884758
452,0.002548367017880082
453,-0.04346888139843941
454,-0.011112941429018974
455,0.020482053980231285
456,-0.010280659422278404
457,0.03747645393013954
458,-0.01573408581316471
459,-0.003731396049261093
460,0.04435664787888527
461,0.01788216456770897
462,0.01775534078478813
463,-0.01659807376563549
464,-0.02198808826506138
465,-0.0073121883906424046
466,0.03807886689901352
467,0.005972611717879772
468,-0.0029189304914325476
469,-0.001685370341874659
470,0.021560057997703552
471,-0.03310102969408035
472,-0.08763529360294342
473,0.00785118993371725
474,-0.0637924075126648
475,-0.002383892424404621
476,-0.013213461264967918
477,-0.041693344712257385
478,0.014600597321987152
479,-0.004331827629357576
480,0.021734440699219704
481,-0.032530322670936584
482,0.00016942876391112804
483,0.028963400050997734
